PassengerId,Survived_pred,Survived_prob
892,0,0.10626444069231981
893,1,0.7118127226760453
894,0,0.16317488352101664
895,0,0.22439852246323638
896,0,0.40138644748635877
897,0,0.09839410200360889
898,1,0.7073175558239124
899,0,0.10821925479227913
900,1,0.896852989317778
901,0,0.09854783463820505
902,0,0.10342510794533505
903,0,0.14395180278660052
904,1,0.9322094555150142
905,0,0.28232722474276595
906,1,0.9187339182944023
907,1,0.9286719501639283
908,0,0.12059747749837518
909,0,0.19126034341393428
910,1,0.5693879993898725
911,1,0.7907591705381698
912,0,0.3925296349135517
913,0,0.40839139456821466
914,1,0.9441513562272884
915,0,0.3935715449515737
916,1,0.9766029626420898
917,0,0.06887103045094232
918,1,0.9519107070968974
919,0,0.19126034341393428
920,0,0.43216960816212024
921,0,0.1571312394726229
922,0,0.09121605660583638
923,0,0.1297800072017266
924,1,0.5448356044889013
925,0,0.19155978511475932
926,1,0.5310009502229929
927,0,0.19126034341393428
928,0,0.397499344240784
929,0,0.3456874696623718
930,0,0.09839410200360889
931,0,0.3880598998059361
932,0,0.12234403388278865
933,0,0.3242138365813512
934,0,0.11141561031769513
935,1,0.9258558129822586
936,1,0.9397616607910845
937,0,0.11688049024033578
938,0,0.2783374893198449
939,0,0.13297619460130472
940,1,0.9585231599020133
941,1,0.6578917264848533
942,0,0.2849024865268797
943,0,0.2642477650141251
944,1,0.8950129973833868
945,1,0.8358521976168324
946,0,0.1642872397779782
947,0,0.09687749747935212
948,0,0.10171008743749174
949,0,0.11763401745759196
950,0,0.10475859798132774
951,1,0.974184549873414
952,0,0.09788761450631327
953,0,0.21154781585649232
954,0,0.113303398092151
955,1,0.7555941123679948
956,0,0.21343451700567256
957,1,0.9359946723058097
958,1,0.6114263240690421
959,0,0.10842773959015402
960,0,0.3674527246738918
961,1,0.8047269202309718
962,1,0.6259293538264531
963,0,0.09788761450631327
964,1,0.5174586086747202
965,0,0.2708925816173887
966,1,0.9706991119237113
967,0,0.35043617296292595
968,0,0.10608187656982405
969,1,0.9682905655943291
970,0,0.11702503192234288
971,1,0.6259293538264531
972,1,0.9317573971088071
973,0,0.09605444795392104
974,0,0.1811634553245032
975,0,0.10342510794533505
976,0,0.13290239804906281
977,0,0.11540922974783066
978,1,0.7528171973855771
979,0,0.3508189543486471
980,1,0.6576541154995802
981,1,0.9468468215255331
982,1,0.5704390621951494
983,0,0.11327364739623512
984,1,0.9262932191058834
985,0,0.10608187656982405
986,0,0.2780191816619196
987,0,0.113303398092151
988,1,0.8983806087223846
989,0,0.13095095891672223
990,0,0.4268202863424596
991,0,0.11016056333412946
992,1,0.9737614130113952
993,0,0.1946812754264381
994,0,0.13297619460130472
995,0,0.15543236335948063
996,1,0.5207512192772668
997,0,0.11933421055766605
998,0,0.12607899691545618
999,0,0.13297619460130472
1000,0,0.10395694562227724
1001,0,0.10427134840118682
1002,0,0.11767394500838008
1003,1,0.6576541154995802
1004,1,0.9585920855143935
1005,1,0.7967978222004473
1006,1,0.9746922622453753
1007,0,0.14334656228452672
1008,0,0.04414360468420151
1009,1,0.8684658514285393
1010,0,0.4575506331354554
1011,1,0.9273706203743751
1012,1,0.9290137078854446
1013,0,0.13846136696458491
1014,1,0.9641493925713129
1015,0,0.09780679427659066
1016,0,0.13297619460130472
1017,1,0.5481577267442119
1018,0,0.113303398092151
1019,1,0.7070170501101385
1020,0,0.13575217609786108
1021,0,0.10041806868396924
1022,0,0.2046358853782293
1023,0,0.17260230064502236
1024,0,0.056461209004601456
1025,0,0.04615957966549478
1026,0,0.11258124427631908
1027,0,0.10727194210555512
1028,0,0.24011849396644686
1029,0,0.15131296680423992
1030,0,0.3508189543486471
1031,0,0.02160150969937258
1032,0,0.061580174507623466
1033,1,0.958208968899242
1034,0,0.3150071179016833
1035,0,0.12025412889414941
1036,0,0.3947509379101307
1037,0,0.22216893424196646
1038,0,0.16200854539381532
1039,0,0.10041806868396924
1040,0,0.3242138365813512
1041,0,0.09307553955443301
1042,1,0.9574280941289869
1043,0,0.13673971977982094
1044,0,0.06720124424493658
1045,1,0.5591588151412288
1046,0,0.07602752741607764
1047,0,0.11763401745759196
1048,1,0.954302026959392
1049,0,0.4268202863424596
1050,0,0.3947509379101307
1051,1,0.5638435139828535
1052,1,0.7728252973957872
1053,1,0.6952457650882374
1054,1,0.932263082929556
1055,0,0.12016159747284948
1056,0,0.12295357279714446
1057,1,0.525310507380915
1058,0,0.20265535506833585
1059,0,0.10901157098707764
1060,1,0.9408818337113497
1061,0,0.37002866598098305
1062,0,0.09780679427659066
1063,0,0.3208034946366655
1064,0,0.1910069480374222
1065,0,0.12957321525721424
1066,0,0.045720760621086556
1067,1,0.9173998622316659
1068,1,0.9164712049087222
1069,0,0.4135293255434576
1070,1,0.9603751798374752
1071,1,0.9374400772261777
1072,0,0.11702503192234288
1073,0,0.4128711075924295
